sanitizer_name,sanitizer_price,sanitizer_rating
"Khadi Organique  kills 99.99% germs and infection witho...,Khadi Organique kills 99.99% germs and infection withou...,FLOH Hand sanitizer with 70% IPA and vitamin E (60ML)(P...,Qraa Safe Hands  for All Kind of Flu, Virus- Anti-Bacte...,Aryanveda Herbals Bodyguard  Disinfectant Gel 500 ml Ha...,Zavers Bio Naturals Hand Cleanser gel SUPER SAVER REFIL...,DERMEASE  with 100% Gauranteed Germ Free Hand Pack Of 2...,Qraa Safe Hands Sanitizing Hand Rub ,Anti-Bacterial Han...,Bello Hand Sanitize pack of 2 100ml - No alcohol, No ov...,Aryanveda Herbals Bodyguard  Disinfectant Gel 100 ml Ea...,DERMEASE  with 100% Gauranteed Germ Free Hand Pack Of 6...,SOBERBIO  with Dispenser Bottle Pack Hand Sanitizer Bot...,Kronokare Bye Bye Bacteria -  - 320 ml Hand Sanitizer P...,Himalaya PureHands Orange Hand Sanitizer Bottle,FLOH Hand sanitizer with 70% IPA and vitamin E,120 ML(P...,DERMEASE Hand Wash Sanitizer 500ml Hand Sanitizer Pump ...,NutriGlow NATURAL'S Combo Pack Of 2 - Real Orange (100 ...,FLOH Hand sanitizer with 70% IPA and vitamin E,120 ML (...,FLOH Hand sanitizer with 70% IPA and vitamin E,120 ML (...,TEJ HAND CLEAN ( Waterless -100ml x 5 ) Hand Sanitizer ...,Lifebuoy Total  Hand Sanitizer Bottle,Mediker Instantly Kills 99.9% Germs Without Water Hand ...,Nyle  - 5L Hand Sanitizer Bottle,Dabur Hand Sanitizing Rub Hand Sanitizer Bottle,NutriGlow NATURAL'S Juicy Real Orange Portable Rinse Fr...,morvin india Germi Q  Hand Sanitizer Bottle,NutriGlow NATURAL'S Tea Tree & Aloe Vera Rinse Free Han...,Zavers Bio Naturals Cleanser Gel Handrub Gel Combo pack...,SuperFox  5000ml Hand Sanitizer Bottle,Surjichem Advanced  With Aloevera & Lemon Hand Sanitize...,Surjichem Advanced With Aloevera & Lemon  Pack of 5 Han...,Alcamy Advanced  With Vitamin Rich Aloe Vera Gel Hand S...,SOBERBIO  Refill Bottle Pack Hand Sanitizer Bottle,Dr Venture instant  Anti-Bacterial 500 ml pack of 2 Han...,TEJ HAND CLEAN ( Waterless - 5Ltr) Hand Sanitizer Bottl...,Dr. Morepen Protect  500 ML Lemon For Kids And Adults H...,Dr Venture pf859 instant  Antibacterial Pack Of 500 ml ...,SterloMax Pack of 4 - 75% Isopropyl Alcohol-based Hand ...,SterloMax Pack of 2 - 75% Isopropyl Alcohol-based Hand ...,SARA SOUL OF BEAUTY  Rinse-free Waterless Sanitizing Ge...","₹210,₹105,₹60,₹250,₹249,₹439,₹224,₹200,₹100,₹300,₹149,₹249,₹160,₹250,₹120,₹249,₹299,₹180,₹240,₹245,₹250,₹250,₹2,450,₹225,₹250,₹250,₹250,₹479,₹2,300,₹200,₹250,₹249,₹249,₹449,₹2,490,₹250,₹259,₹1,000,₹500,₹200","3.4,4,3.9,3.9,4.6,3.9,4.1,4,4.1,4.3,4.2,3.6,4.2,4.3,3.9,4,3.8,4.2,4,4,4.5,4.8,4.6,4.6,3.7,4.1,3.3,4.1,4.3,4,4.7,3.8,3.5,4,4.6,3.3,4.7,4.4"
"Beardhood Hand Cleaner Sanitizer Gel With 70% Isopropyl...,West-Coast Stericlean-M Instant  Gel Rose Flavour Prote...,West-Coast Stericlean-M Instant  Gel Rose Flavour Prote...,shavi Alcohol Based  175 ML - Pack Of 4 Pieces Alchohol...,Mysticoal Herbal  kills 99.99% Germs - 100ml Natural Ha...,shavi Alcohol Based  350 ML - Pack Of 4 Pieces Alchohol...,shavi 75% v/v Alcohol Based  1 Litre (Pack of 2) Hand S...,shavi Alcohol Based  1 Litre Alchohol 75% V/V Hand Sani...,shavi Alcohol Based  2 Litre Alchohol 75% V/V Hand Sani...,shavi Alcohol Based  5 Litre Alchohol 75% V/V Hand Sani...,VLCC 12 Advanced  500ml each Hand Sanitizer Pump Dispen...,SPASTRAT Sanitizer 100ml Hand Sanitizer Bottle,REVOLVE ANTIBACTERIAL HAND SANITIZER Hand Sanitizer Bot...,REVOLVE AntiBacterial  Family Pack Hand Sanitizer Bottl...,NutriGlow NATURAL'S Strawberry Alcohol Based Hand Rub F...,Yash Herbal Anti Bacterial Organic Sanitizer with 70% A...,NutriGlow NATURAL'S Tea Tree & Aloe Vera Rinse Free Han...,Biofresh Hand Rub Sanitizer Pack of 3 ) Hand Sanitizer ...,Yash Herbal Anti Bacterial Organic alcohol based hand S...,NutriGlow NATURAL'S Juicy Real Orange Portable Rinse Fr...,NutriGlow NATURAL'S Juicy Real Orange Portable Rinse Fr...,Biofresh Hand Rub, Kill germs & Bacteria ( Pack of 2 ) ...,The Man Company  kills 99.99% germs and infection - Alo...,Qraa Safe Hands Sanitizing Tube For All Kind of Flu, Vi...,The Man Company  kills 99.99% germs and infection - Alo...,Indus Valley Hand Sanitz With The Goodness Of Aloe Vera...,True Derma Essentials  - Clove Oil Hand Sanitizer Bottl...,KEYA SETHS AROMATHERAPY Ankush Ayurvedic  70% Alcohol,E...,The Man Company  kills 99.99% germs and infection - Alo...,KEYA SETHS AROMATHERAPY Ankush Ayurvedic  70% Alcohol,E...,Organic Harvest Instant Anti-Bacterial Gel  with Organi...,Medimade  500 ML -Pack of 3 (70% Alcohol FDA Approved) ...,Qraa Safe Hands  Tube For All Kind of Flu, Virus- Anti-...,Medimade  330 ML -Pack of 3 (70% Alcohol FDA Approved) ...,KEYA SETHS AROMATHERAPY Ankush Ayurvedic  70% Alcohol,E...,Medimade  500 ML -Pack of 2 (70% Alcohol FDA Approved) ...,Davis Alcohol l for ultimate protection kills 99.99% ge...,VLCC  500ml Hand Sanitizer Pump Dispenser,SURJICHEM Advanced Aloevera AND Lemon  Hand Sanitizer B...,Medimade  330 ML -Pack of 2 (70% Alcohol FDA Approved) ...","₹2,450,₹299,₹199,₹340,₹50,₹700,₹979,₹499,₹999,₹2,449,₹3,000,₹250,₹100,₹125,₹250,₹399,₹500,₹374,₹399,₹500,₹300,₹249,₹500,₹260,₹300,₹125,₹419,₹589,₹400,₹1,139,₹200,₹750,₹195,₹495,₹300,₹500,₹750,₹499,₹600,₹330","4.2,3.5,4,4,4.3,3.4,3.7,3.8,4,3.2,4.7,4,4"
